"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","responses","question_order","bonus"
"569.4000000022352","","image-keyboard-response","535","3768483","0.0-535.0","","img/set2/S2.jpg","68","2","random","68","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","536","3768837","0.0-536.0","","<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","537","3769039","0.0-537.0","","","null","","","","","","","","","",""
"619.7000000029802","","image-keyboard-response","538","3769661","0.0-538.0","","img/set2/S3.jpg","72","3","random","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","539","3770015","0.0-539.0","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","540","3770217","0.0-540.0","","","null","","","","","","","","","",""
"560.6999999992549","","image-keyboard-response","541","3770779","0.0-541.0","","img/set2/S3.jpg","72","3","random","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","542","3771133","0.0-542.0","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","543","3771335","0.0-543.0","","","null","","","","","","","","","",""
"723.5999999977648","","image-keyboard-response","544","3772061","0.0-544.0","","img/set2/S4.jpg","74","4","random","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","545","3772415","0.0-545.0","","<img src=""img/set2/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","546","3772617","0.0-546.0","","","null","","","","","","","","","",""
"544.6999999992549","","image-keyboard-response","547","3773165","0.0-547.0","","img/set2/S3.jpg","72","3","random","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
