"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","block_order","chunk_order","stimulus","key_press","state","test_part","correct_response","correct","responses","question_order","bonus"
"","null","image-keyboard-response","126","138282","0.0-126.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","127","138635","0.0-127.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","128","138838","0.0-128.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","129","141342","0.0-129.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S2.jpg","null","2","structured_load","68","false","","",""
"","null","html-keyboard-response","130","141698","0.0-130.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","131","141904","0.0-131.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","132","144406","0.0-132.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S1.jpg","null","1","structured_load","83","false","","",""
"","null","html-keyboard-response","133","144762","0.0-133.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","134","144968","0.0-134.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","135","147475","0.0-135.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S2.jpg","null","2","structured_load","68","false","","",""
"","null","html-keyboard-response","136","147832","0.0-136.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","137","148038","0.0-137.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","138","150544","0.0-138.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S1.jpg","null","1","structured_load","83","false","","",""
"","null","html-keyboard-response","139","150898","0.0-139.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","140","151102","0.0-140.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","141","153606","0.0-141.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","142","153963","0.0-142.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","143","154164","0.0-143.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","144","156671","0.0-144.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","145","157028","0.0-145.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","146","157229","0.0-146.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","147","159734","0.0-147.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S2.jpg","null","2","structured_load","68","false","","",""
"","null","html-keyboard-response","148","160090","0.0-148.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","149","160293","0.0-149.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","150","162800","0.0-150.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S1.jpg","null","1","structured_load","83","false","","",""
"","null","html-keyboard-response","151","163156","0.0-151.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","152","163362","0.0-152.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","153","165869","0.0-153.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","154","166227","0.0-154.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","155","166428","0.0-155.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","156","168935","0.0-156.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
