"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","bonus"
"null","","html-keyboard-response","194","335352","0.0-194.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","195","335554","0.0-195.0","","","null","","","","","","","",""
"704","","image-keyboard-response","196","336259","0.0-196.0","","img/set1/S3.jpg","72","3","random","72","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","197","336611","0.0-197.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","198","336812","0.0-198.0","","","null","","","","","","","",""
"534","","image-keyboard-response","199","337346","0.0-199.0","","img/set1/S2.jpg","68","2","random","68","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","200","337699","0.0-200.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","201","337899","0.0-201.0","","","null","","","","","","","",""
"489","","image-keyboard-response","202","338389","0.0-202.0","","img/set1/S2.jpg","68","2","random","68","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","203","338739","0.0-203.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","204","338941","0.0-204.0","","","null","","","","","","","",""
"746","","image-keyboard-response","205","339687","0.0-205.0","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","206","340039","0.0-206.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","207","340240","0.0-207.0","","","null","","","","","","","",""
"786","","image-keyboard-response","208","341025","0.0-208.0","","img/set1/S4.jpg","74","4","random","74","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","209","341377","0.0-209.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","210","341578","0.0-210.0","","","null","","","","","","","",""
"461","","image-keyboard-response","211","342040","0.0-211.0","","img/set1/S3.jpg","72","3","random","72","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","212","342392","0.0-212.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","213","342593","0.0-213.0","","","null","","","","","","","",""
"457","","image-keyboard-response","214","343050","0.0-214.0","","img/set1/S4.jpg","74","4","random","74","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","215","343401","0.0-215.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","216","343601","0.0-216.0","","","null","","","","","","","",""
"764","","image-keyboard-response","217","344366","0.0-217.0","","img/set1/S4.jpg","72","4","random","74","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","false","",""
"null","","html-keyboard-response","218","344717","0.0-218.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","219","344918","0.0-219.0","","","null","","","","","","","",""
"572","","image-keyboard-response","220","345491","0.0-220.0","","img/set1/S4.jpg","74","4","random","74","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","221","345842","0.0-221.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","222","346043","0.0-222.0","","","null","","","","","","","",""
"673","","image-keyboard-response","223","346717","0.0-223.0","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","224","347068","0.0-224.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","225","347270","0.0-225.0","","","null","","","","","","","",""
"512","","image-keyboard-response","226","347782","0.0-226.0","","img/set1/S3.jpg","68","3","random","72","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","false","",""
"null","","html-keyboard-response","227","348134","0.0-227.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","228","348335","0.0-228.0","","","null","","","","","","","",""
"548","","image-keyboard-response","229","348883","0.0-229.0","","img/set1/S2.jpg","68","2","random","68","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","230","349236","0.0-230.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","231","349436","0.0-231.0","","","null","","","","","","","",""
"735","","image-keyboard-response","232","350172","0.0-232.0","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","233","350522","0.0-233.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","234","350723","0.0-234.0","","","null","","","","","","","",""
"569","","image-keyboard-response","235","351293","0.0-235.0","","img/set1/S3.jpg","72","3","random","72","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","236","351644","0.0-236.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","237","351845","0.0-237.0","","","null","","","","","","","",""
"487","","image-keyboard-response","238","352333","0.0-238.0","","img/set1/S3.jpg","72","3","random","72","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","239","352684","0.0-239.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","240","352885","0.0-240.0","","","null","","","","","","","",""
"748","","image-keyboard-response","241","353633","0.0-241.0","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","242","353984","0.0-242.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","243","354186","0.0-243.0","","","null","","","","","","","",""
"663","","image-keyboard-response","244","354849","0.0-244.0","","img/set1/S3.jpg","72","3","random","72","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","245","355201","0.0-245.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","246","355402","0.0-246.0","","","null","","","","","","","",""
"705","","image-keyboard-response","247","356107","0.0-247.0","","img/set1/S4.jpg","74","4","random","74","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","248","356458","0.0-248.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","249","356660","0.0-249.0","","","null","","","","","","","",""
"751","","image-keyboard-response","250","357412","0.0-250.0","","img/set1/S3.jpg","68","3","random","72","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","false","",""
"null","","html-keyboard-response","251","357764","0.0-251.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","252","357964","0.0-252.0","","","null","","","","","","","",""
"619","","image-keyboard-response","253","358584","0.0-253.0","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","254","358935","0.0-254.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","255","359136","0.0-255.0","","","null","","","","","","","",""
"664","","image-keyboard-response","256","359801","0.0-256.0","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","257","360152","0.0-257.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","258","360352","0.0-258.0","","","null","","","","","","","",""
"917","","image-keyboard-response","259","361269","0.0-259.0","","img/set1/S4.jpg","74","4","random","74","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","260","361622","0.0-260.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","261","361822","0.0-261.0","","","null","","","","","","","",""
"802","","image-keyboard-response","262","362625","0.0-262.0","","img/set1/S3.jpg","72","3","random","72","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","263","362976","0.0-263.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","264","363178","0.0-264.0","","","null","","","","","","","",""
"751","","image-keyboard-response","265","363929","0.0-265.0","","img/set1/S4.jpg","74","4","random","74","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","266","364280","0.0-266.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","267","364481","0.0-267.0","","","null","","","","","","","",""
"634","","image-keyboard-response","268","365116","0.0-268.0","","img/set1/S2.jpg","68","2","random","68","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","269","365467","0.0-269.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","270","365668","0.0-270.0","","","null","","","","","","","",""
"548","","image-keyboard-response","271","366217","0.0-271.0","","img/set1/S2.jpg","68","2","random","68","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","272","366568","0.0-272.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","273","366770","0.0-273.0","","","null","","","","","","","",""
"452","","image-keyboard-response","274","367222","0.0-274.0","","img/set1/S2.jpg","68","2","random","68","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","275","367573","0.0-275.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
