rt,url,trial_type,trial_index,time_elapsed,internal_node_id,assignmentID,mturkID,hitID,view_history,stimulus,key_press,state,test_part,correct_response,order_block,order_chunk,correct,bonus,responses
292,,image-keyboard-response,556,375548,0.0-556.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set2/S1.jpg,83,1,structured_incentive,83,"structured_normal,structured_incentive,random","1,2,2,3",TRUE,,
null,,html-keyboard-response,557,375908,0.0-557.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">",null,,,,,,,,
null,,html-keyboard-response,558,376112,0.0-558.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
892,,image-keyboard-response,559,377006,0.0-559.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set2/S4.jpg,68,4,structured_incentive,74,"structured_normal,structured_incentive,random","1,2,2,3",FALSE,,
null,,html-keyboard-response,560,377358,0.0-560.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set2/S4.jpg"" width=""540"" height = ""360"">",null,,,,,,,,
null,,html-keyboard-response,561,377564,0.0-561.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
785,,image-keyboard-response,562,378349,0.0-562.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set2/S2.jpg,72,2,structured_incentive,68,"structured_normal,structured_incentive,random","1,2,2,3",FALSE,,
null,,html-keyboard-response,563,378711,0.0-563.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"">",null,,,,,,,,
null,,html-keyboard-response,564,378917,0.0-564.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
612,,image-keyboard-response,565,379529,0.0-565.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set2/S3.jpg,74,3,structured_incentive,72,"structured_normal,structured_incentive,random","1,2,2,3",FALSE,,
null,,html-keyboard-response,566,379883,0.0-566.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"">",null,,,,,,,,
null,,html-keyboard-response,567,380088,0.0-567.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
1140,,image-keyboard-response,568,381229,0.0-568.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set2/S1.jpg,74,1,structured_incentive,83,"structured_normal,structured_incentive,random","1,2,2,3",FALSE,,
null,,html-keyboard-response,569,381593,0.0-569.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"">",null,,,,,,,,
null,,html-keyboard-response,570,381794,0.0-570.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
697,,image-keyboard-response,571,382492,0.0-571.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set2/S2.jpg,72,2,structured_incentive,68,"structured_normal,structured_incentive,random","1,2,2,3",FALSE,,
null,,html-keyboard-response,572,382852,0.0-572.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"">",null,,,,,,,,
null,,html-keyboard-response,573,383054,0.0-573.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
1204,,image-keyboard-response,574,384259,0.0-574.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set2/S3.jpg,68,3,structured_incentive,72,"structured_normal,structured_incentive,random","1,2,2,3",FALSE,,
null,,html-keyboard-response,575,384614,0.0-575.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"">",null,,,,,,,,
